OrderID,Product,Category,Region,Quantity,Price,Date
2043,Office Chair,Furniture,CHENNAI,3.0,7500.0,2025-02-25
2105,Bookshelf,Furniture,Chennai,6.0,5500.0,2025-02-15
2006,Keyboard,Accessories,CHENNAI,2.0,1200.0,2025-02-25
2036,Monitor,Electronics,Salem,10.0,9500.0,2025-02-16
2077,Mouse,Accessories,Salem,5.0,500.0,2025-03-15
2026,bookshelf,Furniture,Salem,1.0,5500.0,2025-03-11
2009,Keyboard,Accessories,SALEM,4.0,1200.0,2025-03-18
2058,Headphones,Accessories,Coimbatore,4.0,2000.0,2025-03-16
2018,Mouse,Accessories,Salem,8.0,500.0,2025-03-30
2007,Monitor,Electronics,Coimbatore,1.0,9500.0,2025-03-19
2024,Mouse,Accessories,Salem,3.0,500.0,2025-03-05
2114,Desk,Furniture,Chennai,8.0,12000.0,2025-02-24
2060,Laptop,Electronics,Chennai,6.0,55000.0,2025-03-22
2046,Monitor,Electronics,Salem,1.0,9500.0,2025-03-20
2016,Keyboard,Accessories,Madurai,20.0,1200.0,2025-03-04
2101,Monitor,Electronics,Salem,1.0,9500.0,2025-03-31
2035,Bookshelf,Furniture,Madurai,5.0,5500.0,2025-03-15
2071,Bookshelf,Furniture,Coimbatore,1.0,5500.0,2025-02-08
2060,Laptop,Electronics,Chennai,6.0,55000.0,2025-03-22
2100,Keyboard,Accessories,Trichy,,1200.0,2025-02-11
2062,Mobile,Electronics,Madurai,12.0,15000.0,2025-02-03
2089,Tablet,Electronics,Trichy,20.0,20000.0,2025-03-06
2095,Headphones,Accessories,Chennai,8.0,2000.0,2025-02-27
2111,Headphones,Accessories,Chennai,,2000.0,2025-03-22
2117,Mouse,Accessories,Coimbatore,4.0,500.0,2025-03-26
2069,Mouse,Accessories,Madurai,4.0,500.0,2025-02-02
2054,Keyboard,Accessories,Chennai,4.0,1200.0,2025-02-24
2005,Laptop,Electronics,Madurai,,55000.0,2025-02-28
2013,Desk,Furniture,Trichy,5.0,,2025-04-01
2078,Mouse,Accessories,Salem,3.0,500.0,2025-02-13
2074,Headphones,Accessories,Coimbatore,1.0,2000.0,2025-03-18
2088,Desk,Furniture,Chennai,12.0,12000.0,2025-02-16
2083,Mobile,Electronics,Madurai,20.0,15000.0,2025-02-20
2110,Monitor,Electronics,Trichy,8.0,9500.0,2025-03-18
2078,Mouse,Accessories,Salem,3.0,500.0,2025-02-13
2053,Mobile,Electronics,Chennai,12.0,15000.0,2025-02-14
2010,Mouse,Accessories,Chennai,4.0,500.0,2025-03-28
2059,Desk,Furniture,Coimbatore,1.0,12000.0,2025-02-06
2092,Headphones,Accessories,Coimbatore,12.0,2000.0,2025-03-04
2106,Laptop,Electronics,Chennai,4.0,55000.0,2025-02-13
2081,Keyboard,Accessories,Trichy,10.0,1200.0,2025-03-01
2028,Mobile,Electronics,Chennai,,15000.0,2025-03-04
2048,Tablet,Electronics,Chennai,15.0,20000.0,2025-02-05
2113,Mobile,Electronics,SALEM,20.0,15000.0,2025-02-22
2115,Tablet,Electronics,Trichy,3.0,20000.0,2025-03-19
2041,Mobile,Electronics,TRICHY,12.0,15000.0,2025-02-07
2104,Office Chair,Furniture,Coimbatore,8.0,7500.0,2025-02-17
2037,Headphones,Accessories,Chennai,2.0,2000.0,2025-03-15
2086,desk,Furniture,Trichy,4.0,12000.0,2025-02-10
2099,headphones,Accessories,Trichy,4.0,2000.0,2025-02-18
2090,Desk,Furniture,Salem,,12000.0,2025-03-30
2103,Laptop,Electronics,Coimbatore,8.0,55000.0,2025-02-21
2068,Laptop,Electronics,Trichy,4.0,55000.0,2025-02-13
2085,Desk,Furniture,Trichy,20.0,12000.0,2025-03-09
2031,Headphones,Accessories,Coimbatore,8.0,,2025-03-15
2093,Mobile,Electronics,Coimbatore,4.0,15000.0,2025-02-18
2014,Keyboard,Accessories,CHENNAI,4.0,1200.0,2025-03-25
2032,Bookshelf,Furniture,Trichy,2.0,5500.0,2025-02-16
2076,Keyboard,Accessories,Salem,6.0,1200.0,2025-03-15
2056,Bookshelf,Furniture,Coimbatore,20.0,5500.0,2025-02-07
2012,Mobile,Electronics,Salem,20.0,15000.0,2025-02-11
2116,Monitor,Electronics,Salem,10.0,9500.0,2025-03-02
2051,Keyboard,Accessories,Madurai,5.0,1200.0,2025-02-26
2066,Tablet,Electronics,Madurai,8.0,20000.0,2025-02-02
2033,Monitor,Electronics,Salem,4.0,9500.0,2025-03-10
2017,Desk,Furniture,Madurai,5.0,12000.0,2025-02-09
2096,Laptop,Electronics,Madurai,8.0,55000.0,2025-02-25
2087,Mobile,Electronics,Trichy,4.0,15000.0,2025-02-12
2047,Desk,Furniture,SALEM,12.0,12000.0,2025-02-11
2120,Mouse,Accessories,Coimbatore,5.0,500.0,2025-03-29
2072,Monitor,Electronics,Coimbatore,1.0,9500.0,2025-02-07
2096,Laptop,Electronics,Madurai,8.0,55000.0,2025-02-25
2084,Laptop,Electronics,Chennai,4.0,55000.0,2025-03-03
2098,Office Chair,Furniture,Trichy,12.0,7500.0,2025-03-20
2019,Tablet,Electronics,Salem,10.0,20000.0,2025-02-06
2065,Bookshelf,Furniture,Trichy,15.0,5500.0,2025-03-20
2119,Laptop,Electronics,Trichy,6.0,55000.0,2025-02-12
2055,bookshelf,Furniture,Coimbatore,15.0,5500.0,2025-03-24
2029,Bookshelf,Furniture,Madurai,3.0,5500.0,2025-03-15
2079,Tablet,Electronics,Salem,15.0,20000.0,2025-02-20
2112,Mobile,Electronics,Salem,1.0,15000.0,2025-02-23
2050,Office Chair,Furniture,Salem,15.0,7500.0,2025-03-06
2109,Mobile,Electronics,Madurai,5.0,15000.0,2025-02-07
2038,Desk,Furniture,Chennai,20.0,12000.0,2025-03-14
2049,Mobile,Electronics,Salem,4.0,15000.0,2025-03-10
2080,Mouse,Accessories,Coimbatore,4.0,500.0,2025-02-28
2034,Laptop,Electronics,MADURAI,2.0,55000.0,2025-03-30
2044,Desk,Furniture,Coimbatore,8.0,12000.0,2025-03-17
2008,Office Chair,Furniture,Chennai,12.0,7500.0,2025-02-19
2063,Tablet,Electronics,Trichy,3.0,20000.0,2025-02-03
2118,Desk,Furniture,Madurai,10.0,12000.0,2025-03-09
2030,Mouse,Accessories,Salem,15.0,500.0,2025-02-28
